ctr : 333  | I: 0010 | Q: ff32
ctr : 334  | I: 0009 | Q: 00b7
ctr : 335  | I: 0017 | Q: 00ce
ctr : 336  | I: fffa | Q: ff38
ctr : 337  | I: fffd | Q: 00d2
ctr : 338  | I: ffca | Q: ff36
ctr : 339  | I: ffa4 | Q: ff3d
ctr : 340  | I: ff9d | Q: ff52
ctr : 341  | I: ff97 | Q: ff63
ctr : 342  | I: ff9a | Q: ff48
ctr : 343  | I: ff71 | Q: ff61
ctr : 344  | I: ff88 | Q: ff6f
ctr : 345  | I: ff5c | Q: ff82
ctr : 346  | I: ff55 | Q: ff84
ctr : 347  | I: ff64 | Q: ff71
ctr : 348  | I: ff41 | Q: ff8a
ctr : 349  | I: ff17 | Q: ffac
ctr : 350  | I: ff3e | Q: ff9e
ctr : 351  | I: ff20 | Q: ffb8
ctr : 352  | I: ff40 | Q: ffe5
ctr : 353  | I: fef8 | Q: ffde
ctr : 354  | I: ff06 | Q: 0012
ctr : 355  | I: ff10 | Q: 0014
ctr : 356  | I: fefc | Q: 002c
ctr : 357  | I: fefb | Q: 0052
ctr : 358  | I: ff13 | Q: 0067
ctr : 359  | I: ff1b | Q: 008b
ctr : 360  | I: ff39 | Q: 009d
ctr : 361  | I: ff0b | Q: 00c2
ctr : 362  | I: ff41 | Q: 00e1
ctr : 363  | I: ff2c | Q: 00cf
ctr : 364  | I: ff59 | Q: 00f3
ctr : 365  | I: ff67 | Q: 00e7
ctr : 366  | I: ff83 | Q: 0110
ctr : 367  | I: ffb0 | Q: 00f3
ctr : 368  | I: fff4 | Q: 012b
ctr : 369  | I: 0012 | Q: fec2
ctr : 370  | I: ffec | Q: fecd
ctr : 371  | I: ffce | Q: fef0
ctr : 372  | I: ff99 | Q: feb6
ctr : 373  | I: 0075 | Q: 0138
ctr : 374  | I: 00a5 | Q: 011d
ctr : 375  | I: 00c5 | Q: 0120
ctr : 376  | I: 00b2 | Q: 00eb
ctr : 377  | I: 0105 | Q: 00db
ctr : 378  | I: 0121 | Q: 00b9
ctr : 379  | I: ffef | Q: ffe7
ctr : 380  | I: fffe | Q: 0003
ctr : 381  | I: 0017 | Q: ffeb
ctr : 382  | I: fff7 | Q: ffec
ctr : 383  | I: ffff | Q: 0004
ctr : 384  | I: 0018 | Q: fff5
ctr : 385  | I: 0036 | Q: fff7
ctr : 386  | I: 0005 | Q: 0008
ctr : 387  | I: ffd9 | Q: fff8
ctr : 388  | I: 0005 | Q: 0001
ctr : 389  | I: 0027 | Q: ffea
ctr : 390  | I: 010d | Q: ff2c
ctr : 391  | I: 00cd | Q: ff07
ctr : 392  | I: 00b1 | Q: ff05
ctr : 393  | I: 00a5 | Q: feed
ctr : 394  | I: 00a2 | Q: feec
